region,disasterNumber,sandyDisaster,disasterType,incidentType,declarationDate,stateAbbreviation,state,county,applicantName,pnpStatus,damageCategoryCode,federalShareObligated,dateObligated,pwNumber,projectTitle,versionNumber,id
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,VISTA LAKES COMMUNITY DEVELOPMENT DISTRICT,0,B - Protective Measures,11000.00,2023-11-09T13:40:14.000Z,1234,710904 - APP Cert- Vista Lakes Protective Measures,0,e62e3a4d-4822-462b-b05b-d90b1fb8d8f0
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,ORANGE (COUNTY),0,D - Water Control Facilities,29577.96,2023-11-09T18:17:56.000Z,1362,715022 - PW - Stormwater - MSBU Pond Windermere Downs Pipe Failure,0,43c8cd03-23dc-4784-8460-9eb0df6cd31b
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,ORANGE (COUNTY),0,B - Protective Measures,51840.00,2023-11-09T18:18:13.000Z,1373,703678 - ADMINISTRATIVE SERVICES - PWs Building #2 - CATB - 75% - Contractor - Roof Tarp,0,61ec3fe9-1384-4a7b-9a0d-3acb97e2d007
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,ORANGE (COUNTY),0,E - Public Buildings,23972.99,2023-11-09T18:18:49.000Z,1428,702352 - Fire - 2 Fire Engines and 1 Wood Truck Repaired,0,feb80729-d2e0-4f14-a823-6c42338602e2
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,ORANGE (COUNTY),0,E - Public Buildings,42750.00,2023-11-09T18:18:49.000Z,1402,703824 - U - Water Division - WRWSF Shed,0,08800585-dbff-481c-88e8-5696eb970b0e
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,ORANGE (COUNTY),0,E - Public Buildings,12806.04,2023-11-09T18:18:49.000Z,1411,704502 - Admin - Administration Center and CEP,0,86942555-9e5d-42ad-898f-b07dbbb85fc2
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,ORANGE (COUNTY),0,E - Public Buildings,36440.10,2023-11-09T18:18:49.000Z,1378,702351 - Fire - 3 Total Loss Flooded Ford Vehicles,0,2cb2f297-4723-4edf-b4ed-1327252c0b8c
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,ORANGE (COUNTY),0,E - Public Buildings,97373.70,2023-11-09T18:22:12.000Z,1448,704504 - Admin - 3 Corrections Buildings,0,48e73445-60bc-45d8-af43-82c74b864bdd
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,ORLANDO,0,F - Public Utilities,1240992.90,2023-11-09T18:29:28.000Z,798,709676 - City of Orlando - Water Conserv I - Damaged Filter Underdrain,0,f14b7115-3126-4b82-93a1-bb5b06b55d7b
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,ORANGE (COUNTY),0,E - Public Buildings,15084.12,2023-11-09T18:18:49.000Z,1405,707131 - Admin - South Econ,0,d8015033-938c-466c-a65c-e2626478af51
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,BELLE ISLE,0,D - Water Control Facilities,167275.62,2023-11-09T18:22:46.000Z,1410,724184 - Storm Water,0,a524cd51-eca7-43d4-ab63-2620484f54af
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,ORLANDO,0,F - Public Utilities,312847.20,2023-11-09T18:29:56.000Z,1409,709601 - Cat F - City Wide Pipe Damages - Cathcart - Group A - Damages at 5 Sites,0,2563ac02-eed2-4229-85b2-cab04b27d0a3
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Orange,"ST. LAWRENCE A.M.E. CHURCH, INC.",1,B - Protective Measures,43634.18,2023-11-09T18:41:16.000Z,1280,722507 - Cat B - Emergency Protective Measures,0,d1e07bc8-67a7-475c-a547-cd0288fbceee
4,4680,0,DR,Hurricane,2022-12-13T00:00:00.000Z,FL,Florida,Orange,MAITLAND,0,Z - State Management,2798.02,2023-11-09T18:14:19.000Z,133,734100 - DR4680FL Project Management Costs,0,c6169a32-dc60-4a59-a940-acc5aec0c2a0
8,4717,0,DR,Flood,2023-07-05T00:00:00.000Z,ND,North Dakota,Barnes,BARNES (COUNTY),0,C - Roads and Bridges,23325.83,2023-11-08T21:48:02.000Z,15,735196 - Barnes County - Binghampton Township - Work Completed,0,c22ce2a7-80eb-46d3-b51c-850c4a528945
10,4646,0,DR,Severe Storm,2022-03-14T00:00:00.000Z,AK,Alaska,Statewide,ALASKA COURT SYSTEM,0,B - Protective Measures,46182.35,2023-11-06T22:26:44.000Z,19,707680 - App Cert: Palmer Courthouse Emergency Work,0,412d46ab-2fe0-4aa3-a34e-2db1b1a850e7
4,4349,0,DR,Hurricane,2017-11-16T00:00:00.000Z,AL,Alabama,Baldwin,GULF SHORES,0,G - Recreational or Other,2222768.06,2023-11-06T18:22:32.000Z,75,GUSH01G - Engineered Beach,1,bf83ccf9-a40b-4b8e-a66a-43ee07be0114
4,4349,0,DR,Hurricane,2017-11-16T00:00:00.000Z,AL,Alabama,Baldwin,ORANGE BEACH,0,G - Recreational or Other,1234183.07,2023-11-06T18:22:54.000Z,55,ORBE01G,1,efded244-0636-4f79-bc17-9bc208343a44
4,4563,0,DR,Hurricane,2020-09-20T00:00:00.000Z,AL,Alabama,Baldwin,BAY MINETTE,0,E - Public Buildings,-13240.22,2023-11-06T12:44:03.000Z,372,162465 - Buildings contents equipment and vehicles dama,2,49d6b260-17e8-4c72-89ee-33deca830061
5,4704,0,DR,Severe Storm,2023-04-15T00:00:00.000Z,IN,Indiana,Statewide,INDIANA DEPARTMENT OF NATURAL RESOURCES,0,C - Roads and Bridges,95035.95,2023-11-09T17:36:34.000Z,78,725786 - Campground Roads,0,4d80d4d8-a84d-427c-ab28-8b7696f8a8b4
4,4573,0,DR,Hurricane,2020-12-10T00:00:00.000Z,AL,Alabama,Marengo,MARENGO COUNTY COMMISSION,0,A - Debris Removal,553225.18,2023-11-09T12:23:02.000Z,200,172289 - Marengo CO - Debris Removal Countywide,2,9bd1b5bf-d1e0-4b5f-a9db-322ac6328a3a
6,4700,0,DR,Winter Storm,2023-04-04T00:00:00.000Z,AR,Arkansas,Desha,DUMAS,0,Z - State Management,5936.15,2023-11-08T18:53:07.000Z,55,736899 - DR4700AR - Dumas City - Cat. Z Management Cost for Winter Storm,0,79314c90-8e1c-4de8-a82a-069a897d0400
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Imperial,IMPERIAL,0,B - Protective Measures,24271.21,2023-11-08T18:01:31.000Z,3069,683955 - Personal Protective Equipment,0,e26efce8-587e-406a-8121-f84a6901419b
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Imperial,SEELEY COUNTY WATER DISTRICT,0,B - Protective Measures,22411.89,2023-11-09T06:28:29.000Z,570,153653 - Fema Application 2,0,5afa4bea-2438-4323-84d8-ef3848cfeb83
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Imperial,CALEXICO,0,B - Protective Measures,33901.13,2023-11-09T06:38:36.000Z,1066,334034 - Calexico April 2020 to September 2020 Medical Supplies and Materials,0,a4d1cc95-cecc-4631-bbcf-620c02ed031b
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Imperial,CALEXICO,0,B - Protective Measures,14900.00,2023-11-10T23:54:52.000Z,998,332893 - Dissemination of Information (COVID-19 Communication) - Calexico - 04.01.2020 to 09.30.2020,0,2638eef9-ce9c-455b-af50-2a8a23de00bd
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Imperial,CALEXICO,0,B - Protective Measures,19917.96,2023-11-10T23:55:29.000Z,1068,334033 - Sanitization EPM Calexico April 2020 to September 2020,0,281374fb-78bb-4078-96f3-014f9c748a99
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Kern,WEST KERN COMMUN ITY COLLEGE DISTRICT,0,B - Protective Measures,77889.63,2023-11-11T00:08:01.000Z,2676,670140 - West Kern CCD - 07/01/21-03/31/22 Testing,0,24c3f22c-674d-490e-8c78-216162d1309a
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,Lake,NORTHERN CALIFORNIA POWER AGENCY,0,G - Recreational or Other,6884.63,2023-11-09T02:18:47.000Z,388,715315 -  Rock Fence Replacement,0,c2792ee9-6c1d-4383-aee1-3d64b8eba21b
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Los Angeles,LOS ANGELES COMMUNITY COLLEGE DISTRICT,0,B - Protective Measures,11480.01,2023-11-08T18:23:27.000Z,423,165572 - Mission Covid-19 Costs,0,d82442aa-5d76-4263-b1f3-7d175b3abae3
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Los Angeles,CALIF INSTITUTE OF TECHNOLOGY,1,B - Protective Measures,216028.16,2023-11-08T18:16:31.000Z,1708,666724 - Purchases 5.1.21-1.31.22,0,6465b4ee-3913-4ddf-b1a9-6a1c7269eb98
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Los Angeles,MONTEREY PARK,0,B - Protective Measures,37909.13,2023-11-08T18:15:25.000Z,320,140368 - MPK COVID 19,0,2a9869dd-530a-4c8f-91df-dbc2e440201a
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Los Angeles,MONTEREY PARK,0,B - Protective Measures,28574.51,2023-11-08T18:15:59.000Z,2006,243811 - Monterey Park FEMA Project #3,0,83a1abee-e71e-406a-8cc3-96a80f6501c4
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Los Angeles,LONG BEACH,0,B - Protective Measures,118931.05,2023-11-08T17:59:29.000Z,2487,676684 - City of Long Beach EOC Costs - Phase 3 (Rented,0,cdce099e-5be1-4ccc-9880-2a71835f986a
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Los Angeles,L.A. CO SANITATION DISTRICT #2,0,B - Protective Measures,211015.09,2023-11-08T18:13:57.000Z,1938,672100 - LACSD Covid-19 Expenses No.8 (May & June 2021),0,d3b23133-9aa2-40a4-a870-994e12185e34
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Los Angeles,MANHATTAN BEACH,0,B - Protective Measures,101860.00,2023-11-08T18:17:02.000Z,1332,550267 - Testing_City of Manhattan Beach_04.01.2020-11.23.21,0,a20e39c5-5c48-46e8-aa79-5fcaec5c2f87
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Los Angeles,ALHAMBRA,0,B - Protective Measures,36306.33,2023-11-09T06:27:48.000Z,578,140281 - Alhambra COVID-19 Expenditures,0,6638f8e0-1ce0-44ff-8bff-ed2cd121e998
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Los Angeles,BEVERLY COMMUNITY HOSPITAL ASSOCIATION,1,B - Protective Measures,566535.68,2023-11-09T06:29:24.000Z,2199,547512 - 03 - Medical Facility FAL Overtime (3/16/20-1/2/21),0,f0eeed7e-0b65-4854-a5c8-cc6b87260d18
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Los Angeles,WESTLAKE VILLAGE,0,B - Protective Measures,4461.75,2023-11-10T23:53:53.000Z,277,143097 - COVID-19 Expenses Jan-June 2020,0,998951ad-5e69-4e1b-8c29-34196ef4125d
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Los Angeles,CITY OF HOPE MEDICAL CTR,1,B - Protective Measures,174855.03,2023-11-10T23:56:59.000Z,1988,679088 - Emergency/Inpatient Clinical Care for COVID Pa,0,63305f73-6d2c-48dd-aa4e-5cc387941ce6
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Los Angeles,CITY OF HOPE MEDICAL CTR,1,B - Protective Measures,355088.04,2023-11-10T23:57:47.000Z,2118,684332 - Labor Costs/Medical COVID Treatment Staff 10/0,0,f94d27f1-f6b9-4e2a-a1e1-8c48637ac3bb
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Los Angeles,COMMERCE,0,B - Protective Measures,91192.41,2023-11-11T00:01:41.000Z,2251,672487 - PPE/Cleaning/Sanitization 1/20/2020 - 12/15/20,0,86e0d4be-d927-46cf-b979-a51fd4d2a456
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Los Angeles,TORRANCE UNIFIED SCHOOL DISTRICT,0,B - Protective Measures,283607.84,2023-11-11T00:06:57.000Z,2500,665773 - Additional Temporary Cleaning and Disinfection Contract Services - 4/24/2020 through 6/30/2021,0,89cb1b6d-1c16-4bd8-9aef-eb9554e6b149
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Mono,MAMMOTH LAKES,0,B - Protective Measures,69905.06,2023-11-09T06:27:01.000Z,1944,552727 - EOC-09/6/2020-12/31/2020,0,69cb7bff-8922-48e5-9fa2-cee60f30d79b
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Orange,COSTA MESA,0,B - Protective Measures,837396.62,2023-11-08T18:13:33.000Z,3059,672741 - City Facilities - Cleaning and Decontamination May 2020 to May 2021,0,574613b9-8d37-42da-803d-01a47c277330
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Orange,WESTMINSTER,0,B - Protective Measures,18628.75,2023-11-09T06:32:53.000Z,2541,698271 - EOC Emergency Coordinator Costs,0,33039016-4afe-4b56-b5b2-67a9e3e8f4d4
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Orange,WESTMINSTER,0,B - Protective Measures,3604.77,2023-11-09T06:32:04.000Z,2143,683654 - PPE and Testing,0,029ea024-9698-437b-a6f6-82de96e17900
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,Placer,LINCOLN,0,A - Debris Removal,15683.61,2023-11-08T01:43:42.000Z,382,714947 - City of Lincoln Debris Removal,0,4369a44c-5768-4e1e-9c8e-53bccf0f1f1e
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,Placer,NORTH TAHOE FIRE PROTECTION DISTRICT,0,A - Debris Removal,9148.13,2023-11-08T01:44:11.000Z,407,725118 -  Debris Removal District Wide,0,c3fde551-b4c8-4ea8-b360-bbe969740758
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,Placer,ROCKLIN,0,A - Debris Removal,105833.86,2023-11-08T01:28:18.000Z,325,715987 -  City-Wide / Debris Removal,0,6256b629-8e7c-49bc-8cce-d039242f4836
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,Placer,ROSEVILLE,0,A - Debris Removal,458387.03,2023-11-08T01:39:54.000Z,235,715507 - City-Wide / Debris Removal,0,e1ce6017-80e4-48ff-990e-bce0bff56f6c
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Riverside,VALLEY SANITARY DISTRICT,0,B - Protective Measures,12253.25,2023-11-08T18:25:49.000Z,2321,685754 - Purchase of Body Temperature Scanner and COVID,0,5543b2b6-cbd7-470a-8c54-94c258d0b111
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Riverside,SUNLINE TRANSIT AGENCY,0,B - Protective Measures,176385.74,2023-11-09T06:41:06.000Z,2055,"139428 - Purchase of PPE, Emergency Cleaning Supplies, ",0,a4a3472e-fc3f-4867-8027-326b20a50688
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Riverside,JURUPA COMMUNITY SERVICE DISTRICT,0,B - Protective Measures,80463.73,2023-11-09T06:46:01.000Z,1313,243038 - COVID-19 costs II,0,7655fae0-8bb7-44d0-8ac5-658a162eb31d
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Riverside,INDIO,0,B - Protective Measures,103548.00,2023-11-09T06:50:32.000Z,1382,435160 - Contract labor for cleaning and sanitization for Covid19- 07/01/2020 - 06/30/2022,0,85e93107-2ce3-4b1a-b8a0-554d0f017ce7
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Riverside,CATHEDRAL CITY,0,B - Protective Measures,69775.91,2023-11-09T06:31:27.000Z,946,182234 - Covid-19 Response from 7/1/20 to 8/31/20,0,50626c2c-cc20-477c-87a4-f151ec9d6b9f
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Riverside,RIVERSIDE COMMUNITY COLLEGE DISTRICT,0,B - Protective Measures,26185.95,2023-11-09T06:43:05.000Z,2853,692063 - Onsite COVID-19 test Shield T3 after July 2022,0,ff860168-914c-482f-bd7e-e24d8cc3385d
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Riverside,SUNLINE TRANSIT AGENCY,0,B - Protective Measures,561767.56,2023-11-09T06:40:25.000Z,1064,140367 - SunLine Transit Agency Bus Shields,0,6ed92f77-8f7e-42e5-91c4-193a306f763f
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Riverside,TEMECULA,0,B - Protective Measures,125321.17,2023-11-10T23:56:23.000Z,1788,"155996 -  FA - PPE, Additional Cleaning, Sanitizing & Screeners - 3/17/2020 - 7/2/2021",0,97e54614-1dda-470a-b3fb-4f7b11f394ef
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Riverside,BANNING,0,B - Protective Measures,74178.89,2023-11-10T23:59:03.000Z,1828,"550419 - FA LABOR, EQUIPMENT, MATERIALS, & CONTRACT SERVICES",0,0fd407ad-6912-4f50-bb77-9c2c120e55d7
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Riverside,MISSION SPRINGS WATER DISTRICT,0,B - Protective Measures,60077.84,2023-11-10T23:59:42.000Z,2061,682053 -  Contract Services and PPE - 03/01/2020 - 06/,0,b17d124b-7083-4256-862d-b824a30be2e6
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Riverside,RIVERSIDE,0,B - Protective Measures,933463.18,2023-11-10T23:52:43.000Z,309,"147070 - COVID-19 (PPE, EOC, Other, and Decontamination)",0,fa5e9f21-2925-46c8-85d7-3c4b466e1d97
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Riverside,RIVERSIDE,0,B - Protective Measures,568782.84,2023-11-10T23:53:21.000Z,2501,683343 - Sanitization & Other,0,36be68d1-da47-42ec-8b8e-3d1d9721eb3e
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,San Benito,SAN BENITO (COUNTY),0,A - Debris Removal,207647.10,2023-11-08T01:30:08.000Z,729,720201 - County Wide Debris Removal - 100% Fed Share 60 Days,0,2b5c375a-72da-497b-973c-ef7f90b1ec34
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,San Diego,LA JOLLA INDIAN RESERVATION,0,A - Debris Removal,65864.52,2023-11-08T01:47:19.000Z,513,720367 - Reservation Debris Removal after 60-day 75% cost share,0,d2b92b78-0bed-447d-8eee-80aba2b88b1b
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,San Diego,MOUNTAIN EMPIRE UNIFIED SCHOOL DISTRICT,0,G - Recreational or Other,18839.60,2023-11-09T02:21:38.000Z,622,714793 - School Playgrounds,0,2909e03e-45f5-4d3a-93c3-67559498d2da
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,San Diego,NATIONAL CITY,0,Z - State Management,7101.45,2023-11-09T02:13:53.000Z,770,735169 - Cat Z Management Costs,0,09225845-d62b-413d-a026-3a9a7cefba05
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,San Diego,OCEANSIDE,0,Z - State Management,2498.93,2023-11-09T02:13:53.000Z,774,735170 - Cat Z Management Costs,0,3d31bebf-6ac9-4407-8065-0b554b0dafea
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,San Diego,SAN DIEGO (COUNTY),0,B - Protective Measures,86967.14,2023-11-08T17:57:16.000Z,2471,693465 - San Diego County Minor Lab Renovations - to Accommodate Equipment for COVID-19 Testing,0,073f193e-b61a-4bec-909c-ae216ff16d99
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,San Diego,SAN DIEGO (COUNTY),0,B - Protective Measures,10865.09,2023-11-08T17:58:46.000Z,2621,694013 - San Diego County Storage and Utility Costs - for COVID-19 Vaccination and Testing Sites,0,fa759265-7041-4a0b-b14e-5dd28f6cb8ce
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,San Diego,OLIVENHAIN MUNICIPAL WATER DISTRICT,0,B - Protective Measures,49213.60,2023-11-08T18:25:16.000Z,439,140393 - COVID-19 Expenditures through 8/18/2020,0,a62d328e-34ff-4f82-9b3f-d261bd18f1a3
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,San Diego,STEELE CANYON HIGH SCHOOL,0,B - Protective Measures,14028.00,2023-11-09T06:41:52.000Z,1548,553500 - January 2022 thru April 1 2022 staff and some student Covid-19 weekly testing,0,0316a84a-97ba-4a66-93ce-c5b3a604ba30
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,San Diego,SAN MIGUEL CONSOLIDATED FIRE PROTECTION DISTRICT,0,B - Protective Measures,92144.94,2023-11-09T06:47:10.000Z,1789,667249 - PPE/Cleaning & Disinfection/Temperature Scann,0,86e29770-a780-48db-a3b5-3d23c3e60501
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,San Diego,KAVOD CHARTER SCHOOL,0,B - Protective Measures,39217.48,2023-11-10T23:58:26.000Z,1807,667865 - COVID Project 1,0,b7ac5ed3-ddf2-4074-9893-af2e3576a39a
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,San Mateo,SAN MATEO COUNTY HARBOR DISTRICT,0,A - Debris Removal,5399.53,2023-11-08T01:37:59.000Z,174,720196 - San Mateo County Harbor District Tree and Landslide Debris Cleanup,0,94d55481-031d-43c8-ae40-052c9a946897
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,Santa Clara,PALO ALTO,0,G - Recreational or Other,5751.93,2023-11-09T02:18:15.000Z,211,714681 -  City of Palo Alto Parks Fence Damage,0,74b233cf-4b0a-4fa1-b5f4-862c887c6345
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,Santa Clara,SANTA CLARA VALLEY OPEN SPACE AUTHORITY,0,G - Recreational or Other,65121.00,2023-11-09T02:19:24.000Z,590,711960 - Rancho Canada Del Oro and Sierra Vista Open Space Preserves,0,c40420da-1756-49fd-83fb-35673a0d20c8
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,Santa Cruz,SANTA  CRUZ COUNTY SHERIFF'S POSSE,1,A - Debris Removal,3637.50,2023-11-08T01:43:12.000Z,472,722080 - CAT A DEBRIS REMOVAL,0,7eb355b4-791b-467c-bbb1-3ec4ec1e36e2
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,Santa Cruz,SANTA CRUZ PORT DISTRICT,0,G - Recreational or Other,9440.45,2023-11-09T02:26:27.000Z,660,709951 - Santa Cruz Port District - South Harbor Fuel Dock Damages,0,135280ec-062d-4c8e-b54f-096f3639ef88
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,Santa Cruz,TROUT GULCH MUTUAL WATER COMPANY,1,Z - State Management,4179.37,2023-11-09T02:13:53.000Z,796,735329 - Management Cost,0,2a287a21-090e-4fa6-a180-66fd1d033ae3
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,Santa Cruz,SANTA  CRUZ COUNTY SHERIFF'S POSSE,1,G - Recreational or Other,5230.50,2023-11-09T02:20:34.000Z,375,715997 - CAT G (2) Parking Lot,0,b97e45f8-f438-4fac-b1ef-d04745e024d0
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,Santa Cruz,SANTA CRUZ PORT DISTRICT,0,G - Recreational or Other,16875.00,2023-11-09T02:23:37.000Z,490,709958 - Santa Cruz Port District - South Harbor/Concrete Walkway Damages - 493 Lake Ave,0,307f94b4-dcb1-46a5-bf00-b72df25a0ebf
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,Santa Cruz,CAPITOLA,0,G - Recreational or Other,8499.00,2023-11-09T02:27:25.000Z,524,715108 - Parking Pay Station,0,d97e6aa8-d0b6-4ad4-abed-27b32db05c51
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Santa Cruz,SANTA CRUZ (COUNTY),0,B - Protective Measures,26920.18,2023-11-08T18:24:33.000Z,1813,673782 - County of Santa Cruz COVID-19 2022 - Purchase and Distribution of Food 10/1/2021 through 03/31/2022,0,e24d3c30-b8cf-48fa-9de6-ee5c65ac396e
4,4497,0,DR,Biological,2020-03-28T00:00:00.000Z,KY,Kentucky,Clay,CLAY (COUNTY),0,B - Protective Measures,11098.76,2023-11-08T18:20:11.000Z,116,730118 - Covid19,0,59e52669-0984-4a7b-ac5f-03ae51c2b876
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Ventura,VENTURA (COUNTY),0,B - Protective Measures,388856.85,2023-11-08T18:14:48.000Z,2646,696771 - AAA NCS Food Box Costs (07/09/21 - 06/30/22),0,04db41e8-6647-4d22-8d48-332cf0cdacf9
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Ventura,VENTURA (COUNTY),0,B - Protective Measures,295142.91,2023-11-08T18:14:21.000Z,1323,543069 - EOC Costs #1 (2/26/20 - 8/21/20),0,e41057e3-4ce0-464f-9ef1-3fecda1974d4
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Ventura,OXNARD,0,B - Protective Measures,162089.69,2023-11-09T06:30:02.000Z,627,155754 - Protective measures and supplies,0,ceecede2-e381-44b4-8a40-142a3bd1f49c
9,4683,0,DR,Flood,2023-01-14T00:00:00.000Z,CA,California,Yolo,KNIGHTS LANDING RIDGE DRAINAGE DISTRICT,0,Z - State Management,255.83,2023-11-09T02:13:53.000Z,354,719764 - Management Cost,0,78f70e5f-7f90-4ba3-bf3c-d5b5a2fb041e
8,4145,0,DR,Flood,2013-09-14T00:00:00.000Z,CO,Colorado,Boulder,JAMESTOWN,0,G - Recreational or Other,186418.33,2023-11-08T21:17:25.000Z,624,JAMES08 - JAMESTOWN CENTER SQUARE AND ELYSIAN PARK,2,e6a142e5-8a81-41e7-ad35-708cf2384acf
4,4702,0,DR,Severe Storm,2023-04-10T00:00:00.000Z,KY,Kentucky,Franklin,FRANKLIN (COUNTY),0,Z - State Management,2243.05,2023-11-08T14:23:16.000Z,132,735318 - Management Costs,0,8bec8e6f-03ee-481e-a970-eb84bacb326e
4,4702,0,DR,Severe Storm,2023-04-10T00:00:00.000Z,KY,Kentucky,Franklin,FRANKFORT,0,B - Protective Measures,20203.91,2023-11-08T14:21:39.000Z,88,725514 - Frankfort City Wide EMP,0,832fb8e9-8dd6-406a-a796-939246878f96
4,4702,0,DR,Severe Storm,2023-04-10T00:00:00.000Z,KY,Kentucky,Franklin,KY COMMUNICATION NETWORK AUTHORITY,0,F - Public Utilities,174374.88,2023-11-08T14:22:34.000Z,86,728750 - Fiber Optic Cable Damage in Declared Counties,0,299d60d1-d2a0-4693-b633-79579c1c7dc5
4,4702,0,DR,Severe Storm,2023-04-10T00:00:00.000Z,KY,Kentucky,Jefferson,PROSPECT,0,Z - State Management,830.05,2023-11-08T14:25:34.000Z,138,735976 - Management Costs,0,609fbf0d-fdca-445d-a36e-70239693de52
